"국가별","항목","시점","성별",데이터
"아시아","총사망자","2018","합계",
"아시아","총사망자","2018","남자",
"아시아","총사망자","2018","여자",
"아시아","특정감염성 및 기생충성질환","2018","합계",
"아시아","특정감염성 및 기생충성질환","2018","남자",
"아시아","특정감염성 및 기생충성질환","2018","여자",
"아시아","- 호흡기결핵","2018","합계",
"아시아","- 호흡기결핵","2018","남자",
"아시아","- 호흡기결핵","2018","여자",
"아시아","악성신생물(암)","2018","합계",
"아시아","악성신생물(암)","2018","남자",
"아시아","악성신생물(암)","2018","여자",
"아시아","- 위","2018","합계",
"아시아","- 위","2018","남자",
"아시아","- 위","2018","여자",
"아시아","- 간 및 간내 쓸개관","2018","합계",
"아시아","- 간 및 간내 쓸개관","2018","남자",
"아시아","- 간 및 간내 쓸개관","2018","여자",
"아시아","- 기관·기관지 및 폐","2018","합계",
"아시아","- 기관·기관지 및 폐","2018","남자",
"아시아","- 기관·기관지 및 폐","2018","여자",
"아시아","- 유방","2018","합계",
"아시아","- 유방","2018","남자",
"아시아","- 유방","2018","여자",
"아시아","당뇨병","2018","합계",
"아시아","당뇨병","2018","남자",
"아시아","당뇨병","2018","여자",
"아시아","순환기계통의 질환","2018","합계",
"아시아","순환기계통의 질환","2018","남자",
"아시아","순환기계통의 질환","2018","여자",
"아시아","- 고혈압성질환","2018","합계",
"아시아","- 고혈압성질환","2018","남자",
"아시아","- 고혈압성질환","2018","여자",
"아시아","- 허혈성심질환","2018","합계",
"아시아","- 허혈성심질환","2018","남자",
"아시아","- 허혈성심질환","2018","여자",
"아시아","- 뇌혈관질환","2018","합계",
"아시아","- 뇌혈관질환","2018","남자",
"아시아","- 뇌혈관질환","2018","여자",
"아시아","호흡기계통의 질환","2018","합계",
"아시아","호흡기계통의 질환","2018","남자",
"아시아","호흡기계통의 질환","2018","여자",
"아시아","소화기계통의 질환","2018","합계",
"아시아","소화기계통의 질환","2018","남자",
"아시아","소화기계통의 질환","2018","여자",
"아시아","- 간질환","2018","합계",
"아시아","- 간질환","2018","남자",
